location_id,population_served,sample_date,baseline_rate
California,100000,2020-11-14,4.0
California,100000,2020-11-21,0.0
California,100000,2020-11-21,7.0
California,100000,2020-11-21,7.0
California,100000,2020-11-28,0.0
California,100000,2020-11-28,8.6
California,100000,2020-11-28,8.6
California,100000,2020-12-05,0.0
California,100000,2020-12-05,11.7
California,100000,2020-12-05,11.7
California,100000,2020-12-12,0.0
California,100000,2020-12-12,15.1
California,100000,2020-12-12,15.1
California,100000,2020-12-19,0.0
California,100000,2020-12-19,18.2
California,100000,2020-12-19,18.2
California,100000,2020-12-26,0.0
California,100000,2020-12-26,17.7
California,100000,2020-12-26,17.7
California,100000,2021-01-02,0.0
California,100000,2021-01-02,18.5
California,100000,2021-01-02,18.5
California,100000,2021-01-09,0.0
California,100000,2021-01-09,21.9
California,100000,2021-01-09,21.9
California,100000,2021-01-16,0.0
California,100000,2021-01-16,19.7
California,100000,2021-01-16,19.7
California,100000,2021-01-23,0.0
California,100000,2021-01-23,16.1
California,100000,2021-01-23,16.1
California,100000,2021-01-30,0.0
California,100000,2021-01-30,12.1
California,100000,2021-01-30,12.1
California,100000,2021-02-06,0.0
California,100000,2021-02-06,11.2
California,100000,2021-02-06,11.2
California,100000,2021-02-13,0.0
California,100000,2021-02-13,7.7
California,100000,2021-02-13,7.7
California,100000,2021-02-20,0.0
California,100000,2021-02-20,6.0
California,100000,2021-02-20,6.0
California,100000,2021-02-27,0.0
California,100000,2021-02-27,5.9
California,100000,2021-02-27,5.9
California,100000,2021-03-06,0.0
California,100000,2021-03-06,4.3
California,100000,2021-03-06,4.3
California,100000,2021-03-13,0.0
California,100000,2021-03-13,4.1
California,100000,2021-03-13,4.1
California,100000,2021-03-20,0.0
California,100000,2021-03-20,3.4
California,100000,2021-03-20,3.4
California,100000,2021-03-27,0.0
California,100000,2021-03-27,2.9
California,100000,2021-03-27,2.9
California,100000,2021-04-03,0.0
California,100000,2021-04-03,2.9
California,100000,2021-04-03,2.9
California,100000,2021-04-10,0.0
California,100000,2021-04-10,3.0
California,100000,2021-04-10,3.0
California,100000,2021-04-17,0.0
California,100000,2021-04-17,2.9
California,100000,2021-04-17,2.9
California,100000,2021-04-24,0.0
California,100000,2021-04-24,2.9
California,100000,2021-04-24,2.9
California,100000,2021-05-01,0.0
California,100000,2021-05-01,3.2
California,100000,2021-05-01,3.2
California,100000,2021-05-08,0.0
California,100000,2021-05-08,2.8
California,100000,2021-05-08,2.8
California,100000,2021-05-15,0.0
California,100000,2021-05-15,2.4
California,100000,2021-05-15,2.4
California,100000,2021-05-22,0.0
California,100000,2021-05-22,2.1
California,100000,2021-05-22,2.1
California,100000,2021-05-29,0.0
California,100000,2021-05-29,1.5
California,100000,2021-05-29,1.5
California,100000,2021-06-05,0.0
California,100000,2021-06-05,1.5
California,100000,2021-06-05,1.5
California,100000,2021-06-12,0.0
California,100000,2021-06-12,1.5
California,100000,2021-06-12,1.5
California,100000,2021-06-19,0.0
California,100000,2021-06-19,1.7
California,100000,2021-06-19,1.7
California,100000,2021-06-26,0.0
California,100000,2021-06-26,2.1
California,100000,2021-06-26,2.1
California,100000,2021-07-03,0.0
California,100000,2021-07-03,2.5
California,100000,2021-07-03,2.5
California,100000,2021-07-10,0.0
California,100000,2021-07-10,3.4
California,100000,2021-07-10,3.4
California,100000,2021-07-17,0.0
California,100000,2021-07-17,4.8
California,100000,2021-07-17,4.8
California,100000,2021-07-24,0.0
California,100000,2021-07-24,7.4
California,100000,2021-07-24,7.4
California,100000,2021-07-31,0.1
California,100000,2021-07-31,10.6
California,100000,2021-07-31,10.7
California,100000,2021-08-07,0.1
California,100000,2021-08-07,11.8
California,100000,2021-08-07,11.9
California,100000,2021-08-14,0.2
California,100000,2021-08-14,11.1
California,100000,2021-08-14,11.3
California,100000,2021-08-21,0.1
California,100000,2021-08-21,12.1
California,100000,2021-08-21,12.2
California,100000,2021-08-28,0.1
California,100000,2021-08-28,11.1
California,100000,2021-08-28,11.2
California,100000,2021-09-04,0.1
California,100000,2021-09-04,8.7
California,100000,2021-09-04,8.799999999999999
California,100000,2021-09-11,0.2
California,100000,2021-09-11,6.2
California,100000,2021-09-11,6.4
California,100000,2021-09-18,0.1
California,100000,2021-09-18,5.3
California,100000,2021-09-18,5.3999999999999995
California,100000,2021-09-25,0.1
California,100000,2021-09-25,4.7
California,100000,2021-09-25,4.8
California,100000,2021-10-02,0.2
California,100000,2021-10-02,3.6
